,code_module,code_presentation,id_student,id_site,date,sum_click
10500000,GGG,2014B,626282,798622,167,3
10500001,GGG,2014B,626159,798620,167,1
10500002,GGG,2014B,626159,798622,167,10
10500003,GGG,2014B,626159,798690,167,2
10500004,GGG,2014B,626159,798620,167,3
10500005,GGG,2014B,625651,798622,167,1
10500006,GGG,2014B,625722,798622,167,1
10500007,GGG,2014B,625603,798674,167,2
10500008,GGG,2014B,625603,798622,167,2
10500009,GGG,2014B,625494,798622,167,1
10500010,GGG,2014B,624679,798620,167,4
10500011,GGG,2014B,624679,798622,167,1
10500012,GGG,2014B,624679,798620,167,3
10500013,GGG,2014B,624777,798622,167,7
10500014,GGG,2014B,624321,798622,167,2
10500015,GGG,2014B,571089,798622,167,2
10500016,GGG,2014B,571089,798726,167,1
10500017,GGG,2014B,593785,798832,167,2
10500018,GGG,2014B,593785,798678,167,4
10500019,GGG,2014B,593785,798622,167,3
10500020,GGG,2014B,582283,798682,167,25
10500021,GGG,2014B,582283,798622,167,1
10500022,GGG,2014B,582283,798686,167,2
10500023,GGG,2014B,582283,798617,167,2
10500024,GGG,2014B,579692,798748,167,2
10500025,GGG,2014B,596513,798622,167,6
10500026,GGG,2014B,596513,798620,167,2
10500027,GGG,2014B,589053,798674,167,1
10500028,GGG,2014B,589053,798674,167,2
10500029,GGG,2014B,589053,798622,167,1
10500030,GGG,2014B,569093,798622,168,1
10500031,GGG,2014B,596382,798636,168,6
10500032,GGG,2014B,596382,798636,168,1
10500033,GGG,2014B,596382,798636,168,1
10500034,GGG,2014B,596382,798622,168,1
10500035,GGG,2014B,596382,798636,168,1
10500036,GGG,2014B,596382,798636,168,1
10500037,GGG,2014B,596382,798636,168,1
10500038,GGG,2014B,599276,798620,168,4
10500039,GGG,2014B,599276,798620,168,6
10500040,GGG,2014B,599276,798678,168,4
10500041,GGG,2014B,599276,798622,168,3
10500042,GGG,2014B,592190,798622,168,1
10500043,GGG,2014B,578452,798673,168,1
10500044,GGG,2014B,578452,798674,168,1
10500045,GGG,2014B,578452,798674,168,7
10500046,GGG,2014B,578452,798622,168,2
10500047,GGG,2014B,542562,798622,168,2
10500048,GGG,2014B,543910,798622,168,1
10500049,GGG,2014B,1882021,798620,168,19
10500050,GGG,2014B,1882021,798669,168,4
10500051,GGG,2014B,1882021,798752,168,3
10500052,GGG,2014B,1882021,798618,168,1
10500053,GGG,2014B,1882021,798680,168,1
10500054,GGG,2014B,1882021,798620,168,17
10500055,GGG,2014B,1882021,798689,168,2
10500056,GGG,2014B,1882021,798622,168,12
10500057,GGG,2014B,1882021,798618,168,1
10500058,GGG,2014B,1882021,798618,168,1
10500059,GGG,2014B,2067555,798622,168,2
